BattingTeam,BowlingTeam,Venue,Overs,current_score,wickets_left,current_run_rate,required_run_rate,target
Kings XI Punjab,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",18.2,91,2,4.963636363636364,61.2,193
Rajasthan Royals,Sunrisers Hyderabad,Sawai Mansingh Stadium,13.2,84,8,6.3,9.15,145
Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",11.3,89,9,7.739130434782608,7.647058823529412,154
Chennai Super Kings,Mumbai Indians,Wankhede Stadium,5.5,42,9,7.2,8.75294117647059,166
Rajasthan Royals,Gujarat Titans,"Dr DY Patil Sports Academy, Mumbai",8.2,79,6,9.48,9.771428571428572,193
Rajasthan Royals,Sunrisers Hyderabad,Sawai Mansingh Stadium,8.2,42,9,5.04,8.82857142857143,145
Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,16.6,142,7,8.352941176470589,10.0,172
Delhi Capitals,Rajasthan Royals,Arun Jaitley Stadium,16.1,121,5,7.484536082474227,0.0,116
Royal Challengers Bangalore,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",18.7,133,2,6.939130434782609,87.6,206
Delhi Capitals,Chennai Super Kings,"Dr DY Patil Sports Academy, Mumbai",8.1,74,7,9.06122448979592,11.408450704225352,209
Sunrisers Hyderabad,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",12.2,92,9,7.45945945945946,5.086956521739131,131
Royal Challengers Bangalore,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,15.2,128,9,8.347826086956522,9.857142857142858,174
Kings XI Punjab,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",13.5,98,5,7.084337349397591,14.27027027027027,186
Kings XI Punjab,Rajasthan Royals,Sawai Mansingh Stadium,17.6,111,4,6.166666666666667,24.0,159
Chennai Super Kings,Mumbai Indians,Wankhede Stadium,7.5,51,9,6.51063829787234,8.794520547945206,158
Kings XI Punjab,Royal Challengers Bangalore,M Chinnaswamy Stadium,7.6,63,9,7.875,5.333333333333333,127
Chennai Super Kings,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk",15.4,122,9,7.787234042553192,6.0,148
Royal Challengers Bangalore,Rajasthan Royals,Sawai Mansingh Stadium,9.4,88,9,9.10344827586207,5.709677419354839,147
Chennai Super Kings,Kings XI Punjab,"MA Chidambaram Stadium, Chepauk",16.5,116,6,6.891089108910891,6.631578947368421,137
Kolkata Knight Riders,Rajasthan Royals,Sawai Mansingh Stadium,8.4,91,9,10.5,4.323529411764706,140
Rajasthan Royals,Mumbai Indians,Sawai Mansingh Stadium,15.5,135,7,8.526315789473685,6.48,162
Lucknow Super Giants,Royal Challengers Bangalore,"Eden Gardens, Kolkata",19.7,193,4,9.65,0.0,208
Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,16.6,130,5,7.647058823529412,16.333333333333332,179
Rajasthan Royals,Royal Challengers Bangalore,"Narendra Modi Stadium, Ahmedabad",16.2,143,8,8.755102040816327,4.090909090909091,158
